"id","result"
786997,10
825639,13
818086,16
793100,16
824324,11
820120,13
799820,11
825601,13
825389,16
817685,7
808813,11
821482,13
793073,16
792152,11
788440,16
799624,16
804158,13
796252,11
823288,11
800044,16
785062,4
826193,10
824747,13
806662,10
789937,13
813646,7
782598,4
822501,11
802246,7
810862,10
820975,16
792591,14
813174,16
796146,10
798649,11
804136,13
820631,16
804384,11
802207,7
798513,16
821088,14
811306,16
805717,16
790262,13
811765,14
805586,16
820863,11
799193,16
788295,11
783772,16
820952,10
789701,10
790670,7
796195,16
807923,16
820872,4
805473,16
818998,13
814621,13
802674,13
795277,16
809540,13
826638,11
822208,13
825396,11
799199,16
823903,14
798145,13
791134,11
796510,0
789979,13
820526,16
800235,16
796506,0
790615,10
792273,14
782981,16
795343,0
788115,11
820139,13
824464,16
815409,16
785447,14
796554,0
825381,16
817566,10
823983,14
818372,16
801826,13
798159,13
788065,10
797285,16
788799,16
820679,16
798632,11
799228,11
801825,4
807062,14
819643,14
801270,16
797620,0
796590,16
812381,16
815852,16
797633,0
823005,11
801949,16
808850,16
805643,16
802851,0
806938,11
810913,11
812631,7
820767,10
817767,10
794743,11
798063,13
788313,11
815212,16
807255,16
786868,11
791108,16
818955,13
802292,7
825676,11
795970,16
804847,6
819398,13
810846,11
794036,16
800877,10
801463,16
809985,13
785402,11
817249,7
806767,10
791256,13
797992,13
807442,11
820935,11
786162,13
809339,13
822617,11
792620,13
806126,11
804442,16
812268,16
799031,16
806711,11
789710,13
796131,10
807083,10
818158,16
800791,0
822503,11
809863,11
805010,10
794616,7
826070,11
808893,11
784531,14
807988,14
787065,13
785297,16
813445,16
805793,11
826489,13
821144,16
821618,4
806272,14
802386,4
808372,10
821474,10
787905,11
787441,13
792735,13
806882,10
798769,16
821385,16
790879,16
817973,13
805996,13
807504,11
812017,11
814221,16
810113,16
817831,13
786043,13
791003,11
799329,16
796433,0
813012,10
783015,11
826721,16
818429,10
802996,11
805414,16
803207,14
810333,13
783028,10
782568,13
800472,1
816564,11
788253,10
799643,16
798676,11
809495,13
825228,16
815952,11
800131,11
787362,10
804314,11
804984,0
786605,10
783392,16
814226,10
814162,16
803544,13
820122,13
789679,13
797343,16
784172,11
818430,10
813914,11
816345,11
793788,13
815235,14
804119,13
805720,10
800670,13
810686,16
826191,0
820596,16
785658,11
789423,13
789346,14
819195,11
798576,10
805027,10
805989,11
797341,16
802390,4
806160,10
784565,7
788956,16
802224,7
820856,16
817215,13
815968,11
821042,16
806070,11
808301,11
795884,16
816932,11
815801,16
826736,11
816988,11
807153,11
821145,16
793316,11
785768,16
800808,4
813713,4
794626,11
826583,13
802946,11
789691,11
801409,13
813648,7
795462,14
811687,16
791562,14
825025,16
822357,0
787464,7
789876,13
816135,14
814612,14
790359,13
803379,13
787526,14
794617,16
788761,16
823333,14
807417,11
820305,11
790434,11
794277,16
826274,13
806903,11
795123,4
825298,13
788545,16
793888,16
820662,16
801345,13
793232,7
790361,11
819648,13
811944,16
807435,10
820386,16
805214,13
823317,16
798921,16
821016,16
795851,16
804068,14
805685,16
807181,10
793196,7
823284,10
789917,13
816166,14
796843,4
788889,16
784239,13
789984,13
783022,11
793838,7
787547,16
816554,10
813792,14
803654,13
820883,16
822656,16
785166,11
809575,13
804914,10
782820,13
811468,14
808815,16
813951,11
806484,13
793324,11
799945,11
821169,16
786713,11
806233,13
784035,15
822261,10
803361,13
798274,16
826171,16
806863,11
816055,16
823082,13
793307,11
825965,16
819608,13
816324,11
809037,16
794752,7
812842,16
810369,11
820842,13
822408,13
797832,16
792041,16
817679,7
814227,16
807440,11
806855,10
803619,11
798886,16
806214,11
804535,13
791091,0
826006,16
798962,10
790069,13
787739,11
802833,11
823765,16
793914,13
820516,16
805672,16
816172,1
793548,7
805145,11
804130,11
814287,13
821592,13
788365,7
812892,16
785673,4
806649,10
791292,16
817993,11
790818,11
792372,16
807376,11
802883,16
805380,10
808218,16
825218,16
805501,16
812657,11
814493,14
820411,16
811988,16
795422,16
789910,11
822923,11
818018,16
800391,11
815665,16
798712,14
782771,4
826625,10
783448,13
